config_tag,window_sec,overlap_ratio,step_sec,total_windows,artifact_count,valid_window_ratio,mean_processing_delay_ms,median_processing_delay_ms,decision_latency_sec,mean_abs_diff_workload,mean_abs_diff_engagement,mean_abs_diff_stress,mean_abs_workload_z,mean_abs_engagement_z,mean_abs_stress_z,label_switch_rate_workload,label_switch_rate_engagement,label_switch_rate_stress,mean_workload_z,mean_engagement_z,mean_stress_z,artifact_windows,n_updates,abnormal_notes
w5_o00,5,0,5,588,27,0.954081633,1.823861054,1.726250001,5.001823861,0.618918902,0.856676638,0.837351187,0.723424725,0.953294149,1.547424385,0.494037479,0.466780239,0.466780239,0.561951493,0.761271089,1.51831124,27,588,27 artifact windows; first at 20.00-25.00s; max peak amplitude 2370.92 uV; 2 severe peaks >= 600 uV; 27 windows with unavailable state scores
w5_o25,5,0.25,3.75,783,30,0.961685824,1.172770243,1.130999997,5.00117277,0.598119114,0.751978079,0.749680588,0.7283818,0.911327166,1.521774457,0.466751918,0.445012788,0.429667519,0.58754564,0.713481064,1.497261883,30,783,30 artifact windows; first at 22.50-27.50s; max peak amplitude 2370.92 uV; 2 severe peaks >= 600 uV; 30 windows with unavailable state scores
w5_o50,5,0.5,2.5,1175,51,0.956595745,1.633697106,1.571500005,5.001633697,0.512140755,0.653315371,0.607883494,0.734610108,0.930650495,1.534234236,0.427597956,0.374787053,0.338160136,0.577835239,0.732858632,1.507871311,51,1175,51 artifact windows; first at 20.00-25.00s; max peak amplitude 2370.92 uV; 4 severe peaks >= 600 uV; 51 windows with unavailable state scores
w5_o75,5,0.75,1.25,2349,100,0.957428693,1.250758238,1.189100003,5.001250758,0.36326557,0.45857456,0.393766347,0.730484435,0.921071127,1.52801266,0.293441227,0.280238501,0.218483816,0.582837405,0.723458285,1.501926986,100,2349,100 artifact windows; first at 20.00-25.00s; max peak amplitude 2370.92 uV; 9 severe peaks >= 600 uV; 100 windows with unavailable state scores
w6_o00,6,0,6,490,24,0.951020408,2.892503469,2.731800003,6.002892503,0.556754923,0.757041964,0.755191935,0.7166864,0.868618965,1.51581368,0.486707566,0.484662577,0.460122699,0.596241315,0.688049064,1.497289974,24,490,24 artifact windows; first at 24.00-30.00s; max peak amplitude 2370.92 uV; 2 severe peaks >= 600 uV; 24 windows with unavailable state scores
w6_o25,6,0.25,4.5,653,36,0.944869832,2.972073354,2.785999997,6.002972073,0.528593689,0.677890706,0.694778683,0.705663777,0.867759364,1.510037877,0.450920245,0.42791411,0.389570552,0.582437178,0.692171032,1.488144027,36,653,36 artifact windows; first at 22.50-28.50s; max peak amplitude 2370.92 uV; 2 severe peaks >= 600 uV; 36 windows with unavailable state scores
w6_o50,6,0.5,3,979,48,0.950970378,2.665609704,2.598599996,6.00266561,0.43324758,0.554707016,0.557274998,0.713217595,0.87686945,1.524608886,0.373210634,0.332310838,0.31799591,0.58863381,0.696634187,1.50464027,48,979,48 artifact windows; first at 21.00-27.00s; max peak amplitude 2370.92 uV; 4 severe peaks >= 600 uV; 48 windows with unavailable state scores
w6_o75,6,0.75,1.5,1957,96,0.950945324,2.831092335,2.727999999,6.002831092,0.364159968,0.446098031,0.389914744,0.710342444,0.87961081,1.520864138,0.308793456,0.266359918,0.229550102,0.587568727,0.697471878,1.499772856,96,1957,96 artifact windows; first at 19.50-25.50s; max peak amplitude 2370.92 uV; 8 severe peaks >= 600 uV; 96 windows with unavailable state scores
w8_o00,8,0,8,367,25,0.931880109,3.63320109,3.557800002,8.003633201,0.484785095,0.652496422,0.669774469,0.676553669,0.817587799,1.500408527,0.464480874,0.428961749,0.43989071,0.583947304,0.656612724,1.484025029,25,367,25 artifact windows; first at 24.00-32.00s; max peak amplitude 2370.92 uV; 2 severe peaks >= 600 uV; 25 windows with unavailable state scores
w8_o25,8,0.25,6,489,35,0.928425358,3.584382413,3.587899999,8.003584382,0.480092715,0.639583822,0.617791294,0.692785736,0.830129351,1.479721319,0.422131148,0.409836066,0.379098361,0.581333522,0.665056916,1.463901424,35,489,35 artifact windows; first at 18.00-26.00s; max peak amplitude 2370.92 uV; 4 severe peaks >= 600 uV; 35 windows with unavailable state scores
w8_o50,8,0.5,4,734,49,0.933242507,3.510283651,3.496999998,8.003510284,0.37844052,0.496052309,0.490746605,0.693837264,0.824966802,1.503801433,0.347885402,0.34106412,0.316507503,0.591876848,0.662308781,1.487261368,49,734,49 artifact windows; first at 20.00-28.00s; max peak amplitude 2370.92 uV; 5 severe peaks >= 600 uV; 49 windows with unavailable state scores
w8_o75,8,0.75,2,1467,97,0.933878664,3.390652693,3.4304,8.003390653,0.25988167,0.339327117,0.320696801,0.687880498,0.829383162,1.501974716,0.236016371,0.223738063,0.201909959,0.58703801,0.667191662,1.485478584,97,1467,97 artifact windows; first at 18.00-26.00s; max peak amplitude 2370.92 uV; 9 severe peaks >= 600 uV; 97 windows with unavailable state scores
